Id,Name,Lon,Lat,Base,Temp,Pressure,Humidity,TempMin,TempMax,Visibility,Speed,Deg,All,Dt,Type,Id,Message,Country,Sunrise,Sunset,Cod
2643741,City of London,-0.0918,51.5128,stations,285.81,1024,87,284.64,286.79,10000,0.89,10,75,1636897864,2,2019646,0,GB,1636874217,1636906373,200
2988507,Paris,2.3488,48.8534,stations,285.39,1020,85,284.57,285.97,10000,1.79,68,90,1636897521,2,2041230,0,FR,1636873095,1636906323,200
2964574,Dublin,-6.2672,53.344,stations,287.66,1023,88,285.75,288.69,8000,0.45,26,75,1636897460,2,2016139,0,IE,1636876112,1636907443,200
4229546,Washington,-82.7393,33.7368,stations,275.9,1019,57,275.19,280.95,10000,0.46,253,0,1636897913,1,4414,0,US,1636891343,1636928922,200
5128581,New York,-74.006,40.7143,stations,277.94,1015,70,275.46,280.17,10000,6.26,257,1,1636897479,2,2039034,0,US,1636890124,1636925949,200
1273294,Delhi,77.2167,28.6667,stations,294.2,1012,43,294.2,294.2,2200,0,0,0,1636897831,1,9165,0,IN,1636852384,1636891093,200
1275339,Mumbai,72.8479,19.0144,stations,303.14,1007,58,303.14,303.14,2500,4.12,330,6,1636897784,1,9052,0,IN,1636852528,1636893047,200
6539761,Marino,12.6444,41.7624,stations,286.47,1013,77,285.39,287.63,5000,5.14,140,75,1636897922,1,6792,0,IT,1636869458,1636905018,200
2950159,Berlin,13.4105,52.5244,stations,280.52,1016,89,279.7,281.47,9000,4.02,37,90,1636897219,2,2011538,0,DE,1636871194,1636902914,200
292223,Dubai,55.3047,25.2582,stations,302.15,1013,45,302.11,302.31,10000,4.12,330,0,1636897289,1,7537,0,AE,1636857310,1636896687,200
